City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
244,Carnarvon,-24.8667,113.6333,66.78,62,0,14.43,AU,clear sky,2022-06-13 16:36:05
245,Port Hardy,50.6996,-127.4199,51.98,82,75,3.44,CA,broken clouds,2022-06-13 16:36:06
246,Santa Fe,-31.6333,-60.7,69.01,36,4,5.01,AR,light rain,2022-06-13 16:36:06
247,Yumbo,3.5823,-76.4915,81.09,60,75,2.3,CO,broken clouds,2022-06-13 16:31:27
248,College,64.8569,-147.8028,61.2,69,75,4.61,US,smoke,2022-06-13 16:36:06
249,Kosh-Agach,50.0,88.6667,57.15,76,100,1.1,RU,overcast clouds,2022-06-13 16:36:07
250,Iwanai,42.9744,140.5089,52.47,96,1,5.37,JP,clear sky,2022-06-13 16:36:07
251,Vostok,46.4856,135.8833,48.54,83,35,4.38,RU,scattered clouds,2022-06-13 16:36:07
252,Jamsa,61.8642,25.19,63.14,83,51,8.28,FI,broken clouds,2022-06-13 16:36:08
253,Kodiak,57.79,-152.4072,47.71,81,100,8.05,US,smoke,2022-06-13 16:36:08
254,Iqaluit,63.7506,-68.5145,42.53,75,75,8.05,CA,broken clouds,2022-06-13 16:36:08
255,Korla,41.7597,86.1469,86.52,9,1,4.36,CN,clear sky,2022-06-13 16:36:09
256,Leh,34.1667,77.5833,56.34,39,12,7.2,IN,few clouds,2022-06-13 16:36:09
257,San Carlos De Bariloche,-41.1456,-71.3082,44.24,55,75,3.44,AR,broken clouds,2022-06-13 16:31:25
258,Oksfjord,70.2396,22.3479,53.67,75,43,5.39,NO,scattered clouds,2022-06-13 16:36:09
259,San Jose,37.3394,-121.895,70.05,60,20,6.91,US,haze,2022-06-13 16:32:40
260,Mae Chan,20.1467,99.8526,82.06,92,100,1.54,TH,overcast clouds,2022-06-13 16:36:10
261,Hobyo,5.3505,48.5268,79.56,77,93,27.4,SO,overcast clouds,2022-06-13 16:36:10
262,Touros,-5.1989,-35.4608,83.8,60,18,13.94,BR,few clouds,2022-06-13 16:36:10
263,Santa Marta,11.2408,-74.199,87.85,66,20,10.36,CO,few clouds,2022-06-13 16:35:56
264,Kasungu,-13.0333,33.4833,62.24,53,46,6.58,MW,scattered clouds,2022-06-13 16:36:11
