City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Smithers,CA,2022-06-08 20:28:18,54.7804,-127.1743,55.72,76,75,3.44
271,Sinnamary,GF,2022-06-08 20:28:18,5.3833,-52.95,80.76,83,98,8.88
272,Buraydah,SA,2022-06-08 20:28:18,26.326,43.975,95.45,5,0,7.09
273,Lagoa,PT,2022-06-08 20:28:19,39.05,-27.9833,64.89,88,11,22.79
274,Guymon,US,2022-06-08 20:28:19,36.6828,-101.4816,75.2,53,0,14.97
275,Luanda,AO,2022-06-08 20:25:50,-8.8368,13.2343,72.27,88,13,12.53
276,Cabo San Lucas,MX,2022-06-08 20:26:21,22.8909,-109.9124,86.31,48,0,11.5
277,Gamba,GA,2022-06-08 20:28:19,-2.65,10.0,73.4,90,75,3.22
278,Tolaga Bay,NZ,2022-06-08 20:28:20,-38.3667,178.3,55.33,82,100,5.91
279,Bukama,CD,2022-06-08 20:29:20,-9.2,25.85,65.64,52,8,2.35
280,Lavrentiya,RU,2022-06-08 20:29:20,65.5833,-171.0,39.88,63,5,8.39
281,Faya,SA,2022-06-08 20:29:21,18.3851,42.4509,69.91,43,75,1.23
282,Palekh,RU,2022-06-08 20:29:21,56.8028,41.8572,52.65,86,0,5.82
283,Nalut,LY,2022-06-08 20:29:21,30.3333,10.85,90.81,16,34,3.51
284,Olafsvik,IS,2022-06-08 20:29:22,64.8945,-23.7142,50.76,83,100,4.23
285,Plettenberg Bay,ZA,2022-06-08 20:29:22,-34.0527,23.3716,66.99,45,0,7.7
286,Norman Wells,CA,2022-06-08 20:29:22,65.282,-126.8329,48.24,76,75,3.44
287,Fortuna,US,2022-06-08 20:29:23,40.5982,-124.1573,68.94,68,0,14.97
288,Beian,NO,2022-06-08 20:29:23,63.6559,9.5683,54.55,76,40,11.5
289,Jumla,NP,2022-06-08 20:29:23,29.2747,82.1838,58.01,85,12,2.48
290,Ulvik,NO,2022-06-08 20:29:23,60.5672,6.9187,60.26,88,100,2.64
291,Macapa,BR,2022-06-08 20:28:24,0.0389,-51.0664,87.78,66,75,5.75
292,Charagua,BO,2022-06-08 20:29:24,-19.8,-63.2167,71.17,79,94,4.88
293,Inongo,CD,2022-06-08 20:29:24,-1.95,18.2667,73.98,59,93,2.33
294,Beira,MZ,2022-06-08 20:29:24,-19.8436,34.8389,68.09,94,75,16.11
